,message,label
58,Have a nice day my dear.,ham
59,I sent lanre fakeye's Eckankar details to the mail box,ham
60,Your dad is back in ph?,ham
61,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",spam
62,If you ask her or she say any please message.,ham
63,"If e timing can, then i go w u lor...",ham
64,Love you aathi..love u lot..,ham
65,I was just callin to say hi. Take care bruv!,ham
66,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a �150 prize. To collect is easy. Just call 09061743386,spam
67,Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.,ham
68,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,ham
69,"That's the trouble with classes that go well - you're due a dodgey one ��_ Expecting mine tomo! See you for recovery, same time, same place ",ham
70,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&,spam
71,WOT U UP 2 J?,ham
72,"Night night, see you tomorrow",ham
73,Roger that. We���re probably going to rem in about 20,ham
74,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................,ham
75,I wish u were here. I feel so alone,ham
76,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,spam
77,Reason is if the team budget is available at last they buy the unsold players for at base rate..,ham
78,CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES,ham
79,ringtoneking 84484,ham
80,Huh i cant thk of more oredi how many pages do we have?,ham
81,His frens go then he in lor. Not alone wif my mum n sis lor.,ham
82,Nationwide auto centre (or something like that) on Newport road. I liked them there,ham
83,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly",ham
84,"Whatever, juliana. Do whatever you want.",ham
85,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",ham
86,Ringtone Club: Gr8 new polys direct to your mobile every week !,spam
87,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta.",ham
88,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,ham
89,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,spam
90,I am on the way to ur home,ham
91,"Dizzamn, aight I'll ask my suitemates when I get back",ham
92,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word",ham
93,I love to cuddle! I want to hold you in my strong arms right now...,ham
94,R u in this continent?,ham
95,We'll you pay over like  &lt;#&gt; yrs so its not too difficult,ham
96,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,spam
97,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,spam
98,K...k...when will you give treat?,ham
99,"This is the 2nd time we have tried to contact u. U have won the �400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",spam
100,He's just gonna worry for nothing. And he won't give you money its no use.,ham
101,Did you get any gift? This year i didnt get anything. So bad,ham
102,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,ham
103,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant,ham
104,", ow u dey.i paid 60,400thousad.i told  u would call . ",ham
105,IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx,ham
106,I'm reaching home in 5 min.,ham
107,"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx",ham
108,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel ,ham
109,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",spam
110,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed �1000 cash or �5000 prize!,spam
111,Discussed with your mother ah?,ham
112,Ok.,ham
113,"Sorry, I can't text &amp; drive coherently, see you in twenty",ham
114,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,spam
115,In which place i can get rooms cheap:-),ham
116,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.,ham
117,"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\""""",spam
118,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at �350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",spam
119,University of southern california.,spam
120,We have to pick rayan macleran there.,ham
121,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...,ham
122,Well. Balls. Time to make calls,ham
123,Wat time �_ wan today?,ham
124, &lt;#&gt;  in mca. But not conform.,ham
125,Oh ok.. Wat's ur email?,ham
126,"Yes, princess. Are you going to make me moan?",ham
127,Lol its ok I didn't remember til last nite,ham
128,"[��_] anyway, many good evenings to u! s",ham
129,"Cool, I'll text you in a few",ham
130,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",ham
131,I'm very happy for you babe ! Woo hoo party on dude!,ham
132,I am taking you for italian food. How about a pretty dress with no panties? :),ham
133,Wot u up 2? Thout u were gonna call me!! Txt bak luv K,ham
134,YOU ARE CHOSEN TO RECEIVE A �350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,spam
135,How are you holding up?,ham
136,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... ,ham
137,Hope you are not scared!,ham
138,I cant pick the phone right now. Pls send a message,ham
139,I'm at home n ready...,ham
140,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed �1000 cash or �5000 prize!,spam
141,What time do u get out?,ham
142,I am literally in bed and have been up for like  &lt;#&gt;  hours,ham
143,"Yes, my reg is  Ciao!",ham
144,If You mean the website. Yes.,ham
145,Win a �1000 cash prize or a prize worth �5000,spam
146,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",spam
147,Lol or I could just starve and lose a pound by the end of the day.,ham
148,Yeah that's the impression I got,ham
149,Ok ok take care. I can understand.,ham
150,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL",ham
151,"Ya ok, then had dinner?",ham
152,I was slept that time.you there?,ham
153,dont make ne plans for nxt wknd coz she wants us to come down then ok,ham
154,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.,ham
155,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)",ham
156,Noice. Text me when you're here,ham
157,Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,ham
158,Moby Pub Quiz.Win a �100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP �1.50 008704050406 SP,spam
159,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only �1.50/week. SavaMob - offers mobile!",spam
160,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",ham
161,Hi dear we saw dear. We both are happy. Where you my battery is low,ham
162,How are you. Its been ages. How's abj,ham
163,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!,ham
164,Dont kick coco when he's down,ham
165,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit,ham
166,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",spam
167,TBS/PERSOLVO. been chasing us since Sept for�38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,ham
168,Hope you��re not having too much fun without me!! see u tomorrow love jess x,ham
169,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,ham
170,I've reached home n i bathe liao... U can call me now...,ham
171,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821,spam
172,Was the actual exam harder than NBME,ham
173,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,ham
174,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",ham
175,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077,spam
176,Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.,ham
177,Gam gone after outstanding innings.,ham
178,O i played smash bros  &lt;#&gt;  religiously.,ham
179,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",ham
180,Hurry home. Soup is DONE!,ham
181,No no. I will check all rooms befor activities,ham
182,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.",ham
183,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...,ham
184,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",spam
185,Lemme know when you're here,ham
186,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04,spam
187,He needs to stop going to bed and make with the fucking dealing,ham
188,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",ham
189,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now,spam
190,"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj",ham
191,I remain unconvinced that this isn't an elaborate test of my willpower,ham
192,"\Life is nothing wen v get everything\"". But \""life is everything wen v miss something \"". Real value of people wil be realized only in their absence.... gud mrng""",ham
193,how are you? I miss you!,ham
194,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,ham
195,"Hey , is * rite u put ��10 evey mnth is that all?",ham
196,i am going to bed now prin,ham
197,I think just yourself ��_Thanks and see you tomo,ham
198,If u dun drive then how i go 2 sch.,ham
199,I not at home now lei...,ham
200,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@�1.50rcvd,spam
201,Ok then i will come to ur home after half an hour,ham
202,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam
203,Do u hav any frnd by name ashwini in ur college?,ham
204,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...,ham
205,K then 2marrow are you coming to class.,ham
206,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam
207,Pls send me your address sir.,ham
208,I want to lick your pussy now...,ham
209,"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack",ham
210,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm,spam
211,"I'll see, but prolly yeah",ham
212,Thought we could go out for dinner. I'll treat you! Seem ok?,ham
213,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,ham
214,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.,ham
215,What you doing?how are you?,ham
216,"Sure thing big man. i have hockey elections at 6, shouldn���t go on longer than an hour though",ham
217,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,ham
218,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:),ham
219,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.",ham
220,Yunny... I'm goin to be late,ham
221,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,ham
222,"Cool, want me to go to kappa or should I meet you outside mu",ham
223,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",ham
224,May b approve panalam...but it should have more posts..,ham
225,"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",spam
226,"Sorry, I'll call later",ham
227,I dont thnk its a wrong calling between us,ham
228,Me i'm not workin. Once i get job...,ham
229,And by when you're done I mean now,ham
230,\Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But,ham
231,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx,ham
232,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,spam
233,Is it your yahoo boys that bring in the perf? Or legal.,ham
234,No need to say anything to me. I know i am an outsider,ham
235,have you ever had one foot before?,ham
236,Just got to  &lt;#&gt;,ham
237,"Good! No, don���t need any receipts���well done! (��_) Yes, please tell . What���s her number, i could ring her",ham
238,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt""",ham
239,Leave it wif me lar... �� wan to carry meh so heavy... Is da num 98321561 familiar to �_?,ham
240,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-),ham
241,Infact happy new year. How are you where are you when are we seeing,ham
242,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",ham
243,That's a shame! Maybe cld meet for few hrs tomo?,ham
244,Lol I would but despite these cramps I like being a girl.,ham
245,I can��t wait for cornwall. Hope tonight isn��t too bad as well but it��s rock night shite. Anyway i��m going for a kip now have a good night. Speak to you soon.,ham
246,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks,ham
247,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,spam
248,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",ham
249,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,ham
250,�� comin to fetch us oredi...,ham
251,What's nannys address?,ham
252,"URGENT!! Your 4* Costa Del Sol Holiday or �5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost�1.50/pm, Max10mins",spam
253,Haf u eaten? Wat time u wan me 2 come?,ham
254,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,spam
255,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order",ham
256,This single single answers are we fighting? Plus i said am broke and you didnt reply,ham
257,It certainly puts things into perspective when something like this happens,ham
258,Now got tv 2 watch meh? U no work today?,ham
259,i felt so...not any conveying reason.. Ese he... What about me?,ham
260,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam
261,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,ham
262,I told that am coming on wednesday.,ham
263,"Its ok, called mom instead have fun",ham
264,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.",spam
265,Well if I'm that desperate I'll just call armand again,ham
266,Are you at work right now ?,ham
267,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,spam
268,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic,ham
269,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",ham
270,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,ham
271,"Sorry, I'll call later",ham
272,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,ham
273,And pls pls drink plenty plenty water,ham
274,How are you doing. How's the queen. Are you going for the royal wedding,ham
275,He's in lag. That's just the sad part but we keep in touch thanks to skype,ham
276,Ok lor then we go tog lor...,ham
277,Two teams waiting for some players,ham
278,Can �_ send me a copy of da report?,ham
279,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",ham
280,"Ok da, i already planned. I wil pick you.",ham
281,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or �10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",spam
282,"Sorry, I'll call later in meeting",ham
283,I just really need shit before tomorrow and I know you won't be awake before like 6,ham
284,I'm good. Have you registered to vote?,ham
285,"Hmm ok, i'll stay for like an hour cos my eye is really sore!",ham
286,Dear got bus directly to calicut,ham
287,Mm umma ask vava also to come tell him can play later together,ham
288,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",ham
289,"Sorry, I'll call later",ham
290,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",ham
291,&lt;#&gt;  w jetton ave if you forgot,ham
292,Ok i'm coming home now.,ham
293,Can not use foreign stamps in this country.,ham
294,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",spam
295,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy",ham
296,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam
297,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",spam
298,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost �1.50. 2 cancel send STOP",spam
299,I will come tomorrow di,ham
300,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,ham
301,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*,ham
302,C movie is juz last minute decision mah. Juz watch 2 lar but i tot �_ not interested.,ham
303,How are you enjoying this semester? Take care brother.,ham
304,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,spam
305,"Get the door, I'm here",ham
306,"Lets use it next week, princess :)",ham
307,Or i go home first lar �_ wait 4 me lor.. I put down my stuff first..,ham
308,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,ham
309,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:),ham
310,Oi when you gonna ring,ham
311,Missed call alert. These numbers called but left no message. 07008009200,ham
312,I attended but nothing is there.,ham
313,Ard 530 like dat lor. We juz meet in mrt station then �_ dun haf to come out.,ham
314,No dear i was sleeping :-P,ham
315,Er mw im filled tuth is aight,ham
316,Will be office around 4 pm. Now i am going hospital.,ham
317,Actually i'm waiting for 2 weeks when they start putting ad.,ham
318,Anything lor if they all go then i go lor...,ham
319,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?,ham
320,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",ham
321,Yo you around? A friend of mine's lookin to pick up later tonight,ham
322,Stupid auto correct on my phone,ham
323,Double eviction this week - Spiral and Michael and good riddance to them!,ham
324,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\""",ham
325,"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.",ham
326,Buy one egg for me da..please:),ham
327,Have you started in skye,ham
328,Have you bookedthe hut? And also your time off? How are you by the way?,ham
329,And several to you sir.,ham
330,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.,ham
331,I'm at home. Please call,ham
332,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,ham
333,Now only i reached home. . . I am very tired now. . I will come tomorro,ham
334,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,spam
335,"U can WIN �100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription",spam
336,Life style garments account no please.,ham
337,Lol wtf random. Btw is that your lunch break,ham
338,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx",ham
339,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",ham
340,Detroit. The home of snow. Enjoy it.,ham
341,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!,spam
342,Okie...,ham
343,"Aight, I'm chillin in a friend's room so text me when you're on the way",ham
344,Is toshiba portege m100 gd?,ham
345,Well welp is sort of a semiobscure internet thing,ham
346,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,spam
347,"accordingly. I repeat, just text the word ok on your mobile phone and send",ham
348,Loosu go to hospital. De dont let it careless.,ham
349,How much for an eighth?,ham
350,Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/,ham
351,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",ham
352,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,ham
353,"How about clothes, jewelry, and trips?",ham
354,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just �5 by replying GET BBDELUXE and take the challenge,ham
355,Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!,ham
356,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam
357,I am late. I will be there at,ham
358,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,ham
359,Are you plans with your family set in stone ?,ham
360,Pls dont forget to study,ham
361,You'll never believe this but i have actually got off at taunton. Wow,ham
